"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"DSVS-01-01","P0","1","frontend","重建桌面壳语义化视觉 token 与浅底工作台主题","把 desktop-shell/src/index.css 从 background/card/primary/accent 这类通用桶色重构为画布、面板、文本层级、状态严重度、选中态和消息元信息等语义变量，并落一套正式浅底主题。实现必须保持现有 Tailwind v4 变量入口，不引入第二套主题，也不改 hook 或后端契约。","桌面壳存在覆盖画布、面板、文本层级、关键状态、选中会话与 preview_only 的语义 token；默认视觉方向为单一浅底工作台而非旧深色模板；窄窗口下主要表面仍有足够对比；ref: openspec/changes/refactor-desktop-shell-visual-system/specs/desktop-shell-ui/spec.md:1","AUTOFRONTEND+AUTOBUILD","检查 token 命名是否表达语义而不是继续堆桶色；检查没有引入双主题或脱离 Tailwind v4 变量；检查浅底主题下 metadata、warning、selected 态对比足够。","回归确认现有 Button/StatusBadge 与桌面壳布局仍能消费主题变量；回归确认 build 不因非法 Tailwind v4 变量或 CSS 语法回归失败。","已完成","已完成","已完成","已提交","","plan/5-桌面壳前端样式体系重构与信息层级优化-2026-03-14_03-57-35.md:1; openspec/changes/refactor-desktop-shell-visual-system/design.md:1; openspec/changes/refactor-desktop-shell-visual-system/specs/desktop-shell-ui/spec.md:1; desktop-shell/src/index.css:1","picked_reason: 视觉语义是后续 overview/navigation/message 三层拆分的地基；不先收口 token，组件拆分只会复制更多脏 class。 done:在 index.css 中新增 workspace/surface/text/state 语义 token，保留 Tailwind v4 入口映射，并把全局字体栈收口到 Cascadia Code -> JetBrains Mono -> 黑体。 verify:cd desktop-shell && npm run build. limited:none."
"DSVS-01-02","P0","1","frontend","扩展状态徽标与按钮原子组件的状态表达能力","扩展 desktop-shell/src/components/ui/status-badge.tsx 与 button.tsx，使其能表达 ready、warning、danger、muted、preview、unread 等稳定视觉语义，减少桌面壳内联 class 拼接。改动只限前端原子组件层，不改变交互契约。","桌面壳可用统一原子组件表达连接状态、未读数、preview_only、captureLevel 与严重度差异；不再只剩 primary/neutral/accent 三档；ref: openspec/changes/refactor-desktop-shell-visual-system/specs/desktop-shell-ui/spec.md:1","AUTOFRONTEND","检查 variant/tone 语义是否与新视觉系统一致；检查没有把具体业务文案硬编码进原子组件；检查默认样式和 focus 行为未被破坏。","回归确认现有 Button/StatusBadge 调用点都能编译通过；回归确认组件 API 没有引入会破坏其他前端文件的隐式 breaking change。","已完成","已完成","已完成","已提交","","openspec/changes/refactor-desktop-shell-visual-system/tasks.md:3; openspec/changes/refactor-desktop-shell-visual-system/design.md:1; desktop-shell/src/components/ui/status-badge.tsx:1; desktop-shell/src/components/ui/button.tsx:1","picked_reason: 不把原子组件先扩起来，后面每个 panel 都会继续抄一份状态样式，维护面会更烂。 done:扩展 StatusBadge tone 到 success/info/warning/danger/preview/unread，并为 Button 新增 panel/quiet/warning 变体，统一接入语义 token。 verify:cd desktop-shell && npm run build. limited:none."
"DSVS-01-03","P0","1","test","补纯前端 view-model 与状态分支回归测试","把连接状态摘要、badge tone、空态判定、preview/pendingTranslation 展示规则等 UI 派生逻辑抽成纯 helper，并补 Vitest 回归。目标是锁住最容易在 JSX 里回归的条件树，而不是给组件外观拍照。","存在覆盖 connection state summary、badge tone、no sessions、no messages、preview_only/pending_translation 分支的纯逻辑回归；不需要改 useDesktopShell 数据契约；ref: openspec/changes/refactor-desktop-shell-visual-system/design.md:1; ref: openspec/changes/refactor-desktop-shell-visual-system/specs/desktop-shell-ui/spec.md:1","AUTOFRONTEND","检查 helper 是否真正纯净、可测试且不偷偷重写 hook 语义；检查测试覆盖的是高风险分支而不是空壳 happy path。","回归确认现有 desktop-shell-connection.test.ts 仍通过；回归确认新增 helper 不引入无意义抽象层。","已完成","已完成","已完成","已提交","","openspec/changes/refactor-desktop-shell-visual-system/tasks.md:4; openspec/changes/refactor-desktop-shell-visual-system/design.md:1; desktop-shell/src/hooks/desktop-shell-connection.test.ts:1; desktop-shell/src/components/shell/desktop-shell.tsx:1","picked_reason: 这轮最容易回归的不是接口，是状态分支；没有可执行 guardrail，后面重构 JSX 基本靠运气。 done:新增 shell-view-model.ts，把连接状态总览、session fidelity、message presentation、translation/tts/runtime 摘要和 data-empty 判定抽成纯 helper，并新增 8 条 Vitest 回归。 verify:cd desktop-shell && npm test; cd desktop-shell && npm run build. limited:none."
"DSVS-02-01","P0","2","frontend","把桌面壳拆成运行总览与共享状态面板组件","从 desktop-shell/src/components/shell/desktop-shell.tsx 中抽离顶层布局、runtime overview、backend summary、state panel 等表现层组件，确保 desktop-shell.tsx 不再同时承载 header、会话列表和消息卡全部细节。只消费现有 useDesktopShell() 输出，不新增状态机。","代码组织上已拆出运行总览、会话导航、消息阅读三类主要表现层组件；桌面壳首屏以 runtime overview 为第一层信息；ref: openspec/changes/refactor-desktop-shell-visual-system/specs/desktop-shell-ui/spec.md:1","AUTOFRONTEND+AUTOBUILD","检查组件拆分是否清晰收口到 presentation，而不是复制一套新状态容器；检查 desktop-shell.tsx 是否真正瘦身，不再塞满所有明细渲染。","回归确认 useDesktopShell 的生命周期和 selectSession 调用路径未被改坏；回归确认现有后端入口信息、runtime detail 和 error 展示仍可达。","已完成","已完成","已完成","已提交","","plan/5-桌面壳前端样式体系重构与信息层级优化-2026-03-14_03-57-35.md:1; openspec/changes/refactor-desktop-shell-visual-system/tasks.md:7; openspec/changes/refactor-desktop-shell-visual-system/specs/desktop-shell-ui/spec.md:1; desktop-shell/src/components/shell/desktop-shell.tsx:1","picked_reason: 这是信息层级重构的骨架任务，不先拆，后续状态面板和会话/消息优先级都无处安放。 done:desktop-shell.tsx 收缩为页面组合器，新增 RuntimeOverviewPanel、ShellStatePanel、SessionListPane、MessageStreamPane 四个表现层文件，并用 shell-view-model 驱动 overview/诊断摘要。 verify:cd desktop-shell && npm test; cd desktop-shell && npm run build. limited:none."
"DSVS-02-02","P0","2","frontend","实现连接状态总览与页面级异常态处理","基于现有 ShellConnectionState 和 runtime/lastError 数据，为 loading、starting、ready、startup_failed、degraded、reconnecting 实现明确可区分的 overview/status treatment，并补 startup_failed/degraded/reconnecting 等页面级异常态。不能改底层状态值，也不能把它们混成一类 warning。","loading、starting、ready、startup_failed、degraded、reconnecting 六种连接状态都能在同一界面内稳定区分；startup_failed 和 degraded 不是同一 UI；ref: openspec/changes/refactor-desktop-shell-visual-system/specs/desktop-shell-ui/spec.md:15; ref: openspec/changes/refactor-desktop-shell-visual-system/specs/desktop-shell-ui/spec.md:47","AUTOFRONTEND+MANUAL","检查 overview 是否严格复用既有 connectionState 语义；检查 startup_failed、degraded、reconnecting 的提示层级和错误细节是否清楚；检查没有把冷启动又误渲染成 reconnecting。","回归确认 HTTP hydrate + WebSocket live sync 行为未被更改；回归确认 managed backend 冷启动状态测试语义仍成立。","已完成","已完成","已完成","已提交","","openspec/changes/refactor-desktop-shell-visual-system/tasks.md:8; openspec/changes/refactor-desktop-shell-visual-system/specs/desktop-shell-ui/spec.md:15; openspec/changes/refactor-desktop-shell-visual-system/specs/desktop-shell-ui/spec.md:47; desktop-shell/src/hooks/use-desktop-shell.ts:1; desktop-shell/src/hooks/desktop-shell-connection.test.ts:1","picked_reason: 这轮改造的 correctness 核心就是把现有状态语义正确显形，不是换皮。 done:新增 resolveConnectionBannerState 与 ShellConnectionBanner，在页面级区分 loading/starting/startup_failed/degraded/reconnecting，ready 保持由 overview 承接，不再把异常态埋成角落小字。 verify:cd desktop-shell && npm test; cd desktop-shell && npm run build. limited:none."
"DSVS-03-01","P0","3","frontend","重做会话导航的扫读层级与 preview_only 提示","抽出会话导航组件，重排选中态、未读数、会话类型、最新预览、最近更新时间与 previewOnly 提示的视觉权重，消灭当前“大块按钮墙”。只用现有 session 字段，不新增接口。","会话导航可稳定区分选中态、未读数、最新预览、更新时间与 previewOnly；previewOnly 被表现为非错误但可感知的 fidelity cue；ref: openspec/changes/refactor-desktop-shell-visual-system/specs/desktop-shell-ui/spec.md:34","AUTOFRONTEND+MANUAL","检查会话行是否仍可快速点击切换；检查 previewOnly 是否被错误渲染成失败状态；检查更新时间和预览不再与标题抢同一权重。","回归确认 selectSession 仍触发 active session 同步与消息拉取；回归确认群聊/私聊类型标识未丢。","已完成","已完成","已完成","已提交","","openspec/changes/refactor-desktop-shell-visual-system/tasks.md:12; openspec/changes/refactor-desktop-shell-visual-system/specs/desktop-shell-ui/spec.md:34; desktop-shell/src/components/shell/desktop-shell.tsx:1; desktop-shell/src/lib/shell-types.ts:1","picked_reason: 用户先扫会话再读消息；导航层级不对，整个壳的使用效率都在掉。 done:新增 SessionRow，把导航行拆成 monogram、标题、kind、preview cue、更新时间和未读数的稳定层级；SessionListPane 头部增加会话总量摘要。 verify:cd desktop-shell && npm test; cd desktop-shell && npm run build. limited:none."
"DSVS-03-02","P0","3","frontend","重做消息阅读卡片的正文优先级与次级状态提示","抽出消息阅读组件，把 translated/display 作为第一视觉层，原始预览和元数据降级；为 captureLevel=preview 与 pendingTranslation=true 提供次级但明确的提示，不把它们做成错误态。","消息正文或译文成为第一视觉层；原始预览和元数据降为次级；preview 与 pending translation 可感知但非错误；ref: openspec/changes/refactor-desktop-shell-visual-system/specs/desktop-shell-ui/spec.md:25","AUTOFRONTEND+MANUAL","检查 display/translated/original 的优先级是否正确；检查 pendingTranslation 与 captureLevel 提示没有抢占正文；检查消息卡在长文本下仍可读。","回归确认 translation.updated 和 message.created 的现有映射仍能正确驱动 UI；回归确认 TTS 相关 provider 信息仍由 overview 层展示，不被消息卡错误承担。","未开始","未开始","未开始","未提交","","openspec/changes/refactor-desktop-shell-visual-system/tasks.md:13; openspec/changes/refactor-desktop-shell-visual-system/specs/desktop-shell-ui/spec.md:25; desktop-shell/src/components/shell/desktop-shell.tsx:1; desktop-shell/src/lib/shell-types.ts:1","picked_reason: 消息阅读区是主工作区，正文层级不对，前面所有状态/导航优化都会被抵消。"
"DSVS-03-03","P1","3","frontend","补 no sessions 与 no messages 的空态分支","为无会话和当前会话无消息两种高频空数据场景补明确空态面板，保留当前上下文和动作提示，避免页面只剩空白容器。实现需兼容 startup_failed/degraded 等状态层，不与异常态互相覆盖。","无会话时有页面级空态；选中会话无消息时消息区有保留上下文的空态；ref: openspec/changes/refactor-desktop-shell-visual-system/specs/desktop-shell-ui/spec.md:47","AUTOFRONTEND+MANUAL","检查 no sessions 与 no messages 的文案和视觉层级是否分开；检查空态不会覆盖 startup_failed 等更高优先级状态。","回归确认有数据时空态不误触发；回归确认 selected session context 在 no messages 下仍保留。","未开始","未开始","未开始","未提交","","openspec/changes/refactor-desktop-shell-visual-system/tasks.md:14; openspec/changes/refactor-desktop-shell-visual-system/specs/desktop-shell-ui/spec.md:47; desktop-shell/src/components/shell/desktop-shell.tsx:1","picked_reason: 空态不补，页面在真实冷数据场景下还是会露出脚手架本相。"
"DSVS-04-01","P1","4","docs","同步桌面壳状态与 fidelity 表达相关文档","若本轮实现改变了桌面壳对连接状态、preview_only、pending_translation 等用户可见表达，则把 docs/wechat-listening-pitfalls.md 中相关说明同步到仓库事实，避免文档继续描述旧的弱状态提示。","文档与实际桌面壳展示一致；只写仓库事实，不写未验证承诺；ref: openspec/changes/refactor-desktop-shell-visual-system/tasks.md:17","MANUAL","检查文档只描述实际落地的状态与 UI 事实；检查没有把视觉方向或验证结果写成空话。","回归确认 desktop-shell 相关 pitfalls、README 边界和现有运行/打包主路径描述未被误改。","未开始","未开始","未开始","未提交","","openspec/changes/refactor-desktop-shell-visual-system/tasks.md:17; docs/wechat-listening-pitfalls.md:1; plan/5-桌面壳前端样式体系重构与信息层级优化-2026-03-14_03-57-35.md:1","picked_reason: 这轮变化是桌面壳正式 UI 的信息表达，不写回文档，下次排障还会按旧界面理解。"
"DSVS-04-02","P1","4","verify","执行桌面壳回归命令与手工 walkthrough","按 plan 的验证方式执行 desktop-shell 前端测试、构建、cargo test 与手工 walkthrough，覆盖 overview、navigation、message-reading、ready/starting/startup_failed/degraded/reconnecting、无会话、无消息和窄窗口。若环境限制导致无法全跑，notes 必须记录 validation_limited、manual_test 与风险等级。","npm test、npm run build、cargo test 有实际结果；手工 walkthrough 至少覆盖 ready、starting、startup_failed、degraded、reconnecting、无会话、无消息、窄窗口；受限项被显式记录；ref: plan/5-桌面壳前端样式体系重构与信息层级优化-2026-03-14_03-57-35.md:1","AUTOVERIFY+MANUAL","检查验证步骤是否真实执行而不是照抄计划；检查受限验收是否写清不能跑的原因和替代观察点。","回归确认前端 build、Vitest 和 cargo test 都仍是仓库正式交付闸口；回归确认未引入第二套桌面入口或契约漂移。","未开始","未开始","未开始","未提交","","plan/5-桌面壳前端样式体系重构与信息层级优化-2026-03-14_03-57-35.md:1; openspec/changes/refactor-desktop-shell-visual-system/tasks.md:18; README.md:96; docs/desktop-shell-build.md:12","picked_reason: 这轮是纯前端 correctness 变更，不跑回归就没有任何可信度。"
