id,priority,phase,area,title,description,acceptance_criteria,test_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
DCFG-01-01,P0,01 Backend config contract,backend,Extract runtime-config domain DTO layer,"Create a dedicated Python runtime-config module that resolves runtime-root listener/provider config paths, shapes the safe editable DTO for translate/display/TTS fields, and emits masked secret metadata instead of raw secret values.",`GET /api/config` returns a complete editable DTO for supported fields; secret-backed settings expose only configured/source/envKey metadata; runtime-root config path resolution stays correct.,"python -m pytest tests -k ""config or runtime_api""","Verify the DTO covers supported translate/display/TTS fields, provider config path resolution is explicit, and secret metadata never returns raw values.",Verify startup config loading rules still come from the existing Python schema owner and runtime root lookup still targets the effective config files.,已完成,已完成,已完成,已提交,,listener_app/runtime_config.py; listener_app/backend_runtime.py; listener_app/sidebar_shared.py; listener_app/sidebar_tts.py,validated: python -m unittest tests.test_runtime_config_store tests.test_runtime_config tests.test_runtime_shared_helpers
DCFG-01-02,P0,01 Backend config contract,backend,Implement validated config-save persistence across listener and provider files,"Add save-time validation and persistence that preserves unknown fields, keeps listener.json and provider-private TTS JSON separate, writes JSON atomically with LF, and supports write-only direct secret or *_env updates.",Valid saves update listener.json and provider-private files at their existing boundaries; windows_system/doubao/tencent_cloud remain supported; invalid payloads leave existing files unchanged and return field-level errors.,"python -m pytest tests -k ""config or tts""","Verify unknown fields survive round-trip writes, provider-private fields never leak back into listener.json, and write-only secret updates do not echo raw values in responses.","Verify existing config helpers still produce LF JSON, atomic replace semantics stay intact, and startup validation parity is preserved.",已完成,已完成,已完成,已提交,,listener_app/sidebar_shared.py; listener_app/sidebar_tts.py; listener_app/runtime_config.py,depends: DCFG-01-01; validated: python -m unittest tests.test_runtime_config_store tests.test_runtime_config tests.test_runtime_shared_helpers
DCFG-01-03,P0,01 Backend config contract,backend-api,Expose full config read/save endpoints and apply strategy metadata,"Wire the new runtime-config layer into BackendRuntimeService and runtime_api.py so GET returns the safe DTO, save requests return validation errors or success, and responses include whether apply is managed or manual without changing existing runtime/session endpoint semantics.","The backend serves full config GET and save endpoints, returns field-level validation errors on bad input, and reports whether the caller can only save or can save-and-apply.",python -m pytest tests/test_runtime_api.py,"Verify HTTP methods, response shapes, and error status codes are explicit; confirm existing /healthz, /api/runtime, /api/sessions, and /events behaviour stays untouched.",Verify runtime tts-auto-read remains a runtime-only action and config save responses do not imply hot reload before restart.,已完成,已完成,已完成,已提交,,listener_app/backend_runtime.py; listener_app/runtime_api.py; tests/test_runtime_api.py,"depends: DCFG-01-01, DCFG-01-02; validated: python -m unittest tests.test_backend_runtime tests.test_runtime_api"
DCFG-02-01,P1,02 Desktop shell settings flow,frontend-state,Hydrate settings state in the desktop shell hook,"Extend the desktop-shell API client and shell state hook to load the config DTO, maintain dirty/save/error/apply availability state, and keep persisted tts_auto_read_active_chat separate from the runtime header toggle state.",The shell can open settings and hydrate config data; dirty/save/error state is tracked; editing persisted defaults does not mutate the runtime header toggle.,cd desktop-shell && npm test,"Verify hook state separates persisted config from runtime-only actions, and config hydrate/save failures surface stable UI state instead of collapsing the existing shell connection model.","Verify snapshot/bootstrap, WebSocket live sync, and runtime toggle handling continue to work when the settings state is mounted.",已完成,已完成,已完成,已提交,,desktop-shell/src/lib/api.ts; desktop-shell/src/hooks/use-desktop-shell.ts; desktop-shell/src/lib/shell-types.ts,"depends: DCFG-01-03; validated: cd desktop-shell && npm test && npm run build"
DCFG-02-02,P1,02 Desktop shell settings flow,frontend-ui,Add the desktop-shell settings workspace and provider-specific forms,"Add a settings entry and settings workspace that edits supported translate/display fields and renders form branches for windows_system, doubao, and tencent_cloud without breaking the existing runtime overview, session navigation, and message-reading shell layout.","The shell exposes a settings entry, loads the config DTO, shows save-only feedback when apply is unavailable, and renders a complete form branch for each supported TTS provider.",cd desktop-shell && npm test,"Verify each supported TTS provider has a usable form branch, secret inputs are write-only, and the settings workspace does not displace the shell main information hierarchy.",Verify the existing header runtime actions still work and no unsupported provider can be selected without a matching form.,已完成,已完成,已完成,已提交,,desktop-shell/src/components/shell/**; desktop-shell/src/hooks/use-desktop-shell.ts,"depends: DCFG-02-01; validated: cd desktop-shell && npm test && npm run build"
DCFG-02-03,P1,02 Desktop shell settings flow,frontend-test,Add frontend regression coverage for settings hydration and CTA branches,"Add frontend tests that lock settings hydration, dirty state, provider-specific rendering, save success/failure feedback, and save-only versus managed-apply CTA behaviour.","Frontend tests cover settings hydrate, provider branching, save success/failure, and CTA branching for managed versus save-only connections.",cd desktop-shell && npm test,Verify tests target the derived state and view branches that are most likely to regress instead of only snapshotting markup.,Verify existing shell state tests still pass and new settings tests do not depend on unstable network timing.,已完成,已完成,已完成,已提交,,desktop-shell/src/hooks/**; desktop-shell/src/components/shell/**; desktop-shell/src/**/*.test.*,"depends: DCFG-02-01, DCFG-02-02; validated: cd desktop-shell && npm test && npm run build; focus: use-desktop-settings/settings-workspace branches"
DCFG-03-01,P0,03 Managed apply ownership flow,tauri,Add Tauri ownership reporting and owned-backend restart command,"Expose Tauri-side backend ownership information and add a managed restart command that only restarts the backend sidecar owned by the current shell instance, with regression coverage for owned versus unowned flows.","The shell can determine whether the backend is owned, owned sidecars can be restarted, and reused/external backends are rejected instead of being killed.",cd desktop-shell/src-tauri && cargo test,"Verify restart permission is based on shell-owned markers instead of guesswork, and command failures do not leave stale ownership state behind.","Verify bootstrap, single-instance behaviour, health waiting, and existing connection info commands still behave the same.",已完成,已完成,已完成,已提交,,desktop-shell/src-tauri/src/main.rs; desktop-shell/src-tauri/src/backend/bootstrap.rs; desktop-shell/src-tauri/src/backend/mod.rs,depends: DCFG-01-03; validated: cd desktop-shell/src-tauri && cargo test; focus: owned restart gate + connection info ownership flags
DCFG-03-02,P1,03 Managed apply ownership flow,frontend-tauri,Wire save-and-apply through managed restart and reconnect,"Connect the frontend settings flow to the Tauri managed restart command so save-and-apply first persists config, then restarts only the owned backend sidecar, waits for health recovery, and restores shell connectivity without closing the window.",Save-and-apply is available only on owned managed connections; successful apply reconnects to the backend; failed saves or unowned connections never trigger restart.,cd desktop-shell && npm test && cd src-tauri && cargo test,"Verify the frontend does not invoke restart before save success, reconnect state stays explicit, and apply-only UI never appears for unowned or dev connections.",Verify save-only flow still works in unmanaged mode and the shell recovers from backend restart using the existing health/bootstrap contract.,未开始,未开始,未开始,未提交,,desktop-shell/src/hooks/use-desktop-shell.ts; desktop-shell/src/components/shell/**; desktop-shell/src-tauri/src/main.rs,"depends: DCFG-02-01, DCFG-02-02, DCFG-03-01"
DCFG-04-01,P2,04 Documentation and verification,docs,Update operator docs for config DTO and save/apply semantics,"Update listener config and pitfalls documentation so the repo documents the GUI settings path, secret masking rules, listener/provider file boundaries, and the difference between save-only and managed apply.","config/listener.md and docs/wechat-listening-pitfalls.md describe the editable fields, secret handling, file boundaries, and save/apply behaviour without contradicting the shipped runtime.",docs-only,"Verify the docs reflect actual field names, provider boundaries, and managed apply limits instead of aspirational behaviour.","Verify the docs still preserve the existing runtime contract around no hot reload, external backend safety, and provider-private config separation.",未开始,未开始,未开始,未提交,,config/listener.md; docs/wechat-listening-pitfalls.md; README.md,"depends: DCFG-01-03, DCFG-03-02"
DCFG-04-02,P1,04 Documentation and verification,verification,Run end-to-end regression and record any limited validation,"Run the planned Python, frontend, Rust, build, and manual managed/unmanaged verification for the full settings flow, and record any environment-limited checks or manual follow-up steps in the issue notes if complete automation is not possible.","Python, npm, cargo, build, and manual save/save-and-apply checks are executed or explicitly marked as validation_limited with manual_test steps and risk level.",python -m pytest && cd desktop-shell && npm test && npm run build && cd src-tauri && cargo test,"Verify the executed checks actually cover backend contract, frontend settings, managed restart ownership, and documentation-driven operator flow.","Verify any skipped checks are documented with validation_limited, manual_test, and risk entries instead of being silently omitted.",未开始,未开始,未开始,未提交,,tests/**; desktop-shell/**; docs/**,depends: all prior issues
